t_ms,rh_A_THJ5,rh_A_THJ4,rh_A_THJ2,rh_A_THJ1,rh_A_FFJ4,rh_A_FFJ3,rh_A_FFJ0,rh_A_RFJ4,rh_A_RFJ3,rh_A_RFJ0
99000500,2.392965876534863e-06,2.326476707322604e-05,2.812200519424051e-06,4.846986798791973e-07,-1.290108171453231e-06,0.0003477036357089948,-5.998443562709765e-07,1.2901081714532304e-06,0.0003477036357089952,-1.290108171453231e-06
99000500,7.595523522059616e-06,8.562537129017978e-05,8.678557360925487e-06,1.517659226505708e-06,-4.653322713957807e-06,0.0010014161358539923,3.2165634012162043e-06,4.653322029828505e-06,0.0010014157312106318,-4.653322713957807e-06
99000515,1.397159736186521e-05,4.482085508258772e-05,1.545863726893316e-05,2.7104234814403126e-06,-9.729101151376054e-06,0.0016380972259030526,1.3774306933050772e-05,9.729097075664213e-06,0.0016380944732539034,-9.729101151376054e-06
99000515,2.0576630699910915e-05,-5.761568332925748e-05,2.1950127382612757e-05,3.848309935171145e-06,-1.629348382273742e-05,0.0020814383644509353,3.2310771143115374e-05,1.6293468667385097e-05,0.002081428712125696,-1.629348382273742e-05
99000515,2.701962393602926e-05,-0.00019344426753857943,2.7691439010942186e-05,4.853392117935368e-06,-2.4206312934794724e-05,0.0023661600412304873,5.940440249391717e-05,2.4206270042931916e-05,0.0023661469196685552,-2.4206312934794724e-05
99000515,3.303524372702201e-05,-0.00034440835538186856,3.2417325370390446e-05,5.681761367236952e-06,-3.326328059412982e-05,0.002509373035259936,9.50995558794543e-05,3.3263180903788826e-05,0.002509343205373717,-3.326328059412982e-05
99000515,3.838424099605583e-05,-0.0004953986342463721,3.5909166529536435e-05,6.295417950132071e-06,-4.321808859389812e-05,0.0024673114270386967,0.0001390760280726797,4.321788850824399e-05,0.0024672501058520388,-4.321808859389812e-05
99000515,4.296971131847538e-05,-0.000635559094556688,3.813063044313432e-05,6.68893352044839e-06,-5.385012930067247e-05,0.002229599105804206,0.00019083214484405604,5.384976979071096e-05,0.0022294909307708378,-5.385012930067247e-05
99000515,4.6781207672287595e-05,-0.0007583420845104048,3.915345576064358e-05,6.87591872511262e-06,-6.495953935190531e-05,0.0018055959628209617,0.00024972676555222564,6.495894643983138e-05,0.0018054261170782607,-6.495953935190531e-05
99000515,4.985888456609661e-05,-0.0008610808210725704,3.910678711599204e-05,6.879847216587888e-06,-7.637353633971289e-05,0.0012156104465281404,0.00031502529198797175,7.637262270931931e-05,0.0012153657825372246,-7.637353633971289e-05
99000515,5.227012098621093e-05,-0.0009436086927196984,3.8145720896202394e-05,6.728375540260142e-06,-8.794575994281839e-05,0.0004852119826548256,0.0003859183190395869,8.79444274613098e-05,0.00048488212435478435,-8.794575994281839e-05
99000515,5.407553422241275e-05,-0.0010064364986813125,3.6519983359318243e-05,6.4695429753443055e-06,-9.929180491539461e-05,-0.00036276562641647525,0.0004610859023239041,9.928995310874452e-05,-0.0003631846620899459,-9.929180491539461e-05
99000515,5.527902440536488e-05,-0.0010486151181139357,3.4554444651657e-05,6.169613345078485e-06,-0.00010967437459189549,-0.0013150053225640475,0.000538635144584497,0.00010967191625414324,-0.001315506726932409,-0.00010967437459189549
99000531,5.589275914422763e-05,-0.0010698778541173121,3.261509165484661e-05,5.903172378446101e-06,-0.00011829126904912461,-0.00235531854304284,0.0006164119606024522,0.00011828814395271106,-0.002355882367934413,-0.00011829126904912461
99000531,5.597355447418815e-05,-0.0010719200469081571,3.104285345660545e-05,5.737513949460593e-06,-0.0001245438838540148,-0.003459142760574073,0.0006923301605729905,0.00012454006555539068,-0.0034597363474637936,-0.0001245438838540148
99000531,5.564325370453494e-05,-0.001059182796526994,3.041672182087659e-05,5.786781006907489e-06,-0.00012750435412709718,-0.0045921755361150104,0.0007628290237425181,0.0001274998678437268,-0.004592741055645264,-0.00012750435412709718
99000531,5.501005039674621e-05,-0.0010358316254585143,3.1150154494170995e-05,6.130651924683581e-06,-0.00012658216105972285,-0.0057248947374795465,0.0008247319144959076,0.00012657708470696313,-0.005725354082059913,-0.00012658216105972285
99000531,5.4154440276771065e-05,-0.0010051277015837004,3.3424736773175825e-05,6.809615834768613e-06,-0.00012160837481798983,-0.006834886287332691,0.000878732901856591,0.00012160282779502024,-0.00683518015474271,-0.00012160837481798983
99000531,5.3137883958037244e-05,-0.000969670700091554,3.7264285831851156e-05,7.831363807506863e-06,-0.00011271083952286172,-0.007905199269962023,0.0009263889439702541,0.0001127049572520303,-0.007905293773128241,-0.00011271083952286172
99000531,5.200850249946482e-05,-0.0009316669663237888,4.259119223916856e-05,9.17427856233594e-06,-0.00010022003990835661,-0.008923231139017588,0.0009669193170057933,0.0001002139519706056,-0.008923089529946656,-0.00010022003990835661
99000531,5.08038174925911e-05,-0.0008930282937873388,4.9261628566339184e-05,1.0803509719261817e-05,-8.457869334407344e-05,-0.009879993076556178,0.0009997628956538462,8.457251432815117e-05,-0.009879578692636044,-8.457869334407344e-05
99000531,4.955343833204821e-05,-0.0008552882901719708,5.709492207862584e-05,1.2677948478793096e-05,-6.628199212915052e-05,-0.01076943572892452,0.0010248004272418892,6.627581502528278e-05,-0.010768717277527047,-6.628199212915052e-05
99000531,4.8280752367051735e-05,-0.0008196652163887728,6.589445237538948e-05,1.4754279883701101e-05,-4.583667855676848e-05,-0.01158795412800036,0.0010422335854979898,4.5830570277178724e-05,-0.01158690892242686,-4.583667855676848e-05
99000546,4.7004176050295286e-05,-0.0007871036347698937,7.54622181489464e-05,1.698975323795592e-05,-2.373323439930328e-05,-0.012333969595028213,0.0010524841902834865,2.3727233726511593e-05,-0.012332585119259899,-2.373323439930328e-05
99000546,4.5738109921315256e-05,-0.0007583051617452951,8.560861854006622e-05,1.9343999490618607e-05,-4.279652765840036e-07,-0.013007568150576245,0.001056113353199412,4.2208308798217695e-07,-0.013005842346030631,-4.279652765840036e-07
99000546,4.449368767850925e-05,-0.000733754687073,9.615866028358697e-05,2.178014753387202e-05,2.3667575659935663e-05,-0.013610183529002652,0.0010537588230548599,-2.367335431647378e-05,-0.013608124171888903,2.3667575659935663e-05
99000546,4.327937685545803e-05,-0.000713745419209443,0.00010695552895103195,2.426543068629683e-05,4.819181769915741e-05,-0.014144317832507997,0.0010460881283099821,-4.819753022126567e-05,-0.014141941322697575,4.819181769915741e-05
99000546,4.210146844712535e-05,-0.0006984040493368283,0.00011786224610003104,2.677142787358296e-05,7.283459178905954e-05,-0.014613295577963559,0.0010337649234247936,-7.284029387298618e-05,-0.014610625402369017,7.283459178905954e-05
