t_ms,rh_A_THJ5,rh_A_THJ4,rh_A_THJ2,rh_A_THJ1,rh_A_FFJ4,rh_A_FFJ3,rh_A_FFJ0,rh_A_RFJ4,rh_A_RFJ3,rh_A_RFJ0
17212625,2.3929658765349446e-06,2.326476707322587e-05,2.812200519423961e-06,4.8469867987922e-07,-1.2901081714532734e-06,0.0003477036357089948,-5.998443562709857e-07,1.2901081714532743e-06,0.0003477036357089952,-1.2901081714532734e-06
17212625,7.595523522059768e-06,8.562537129017949e-05,8.678557360925327e-06,1.5176592265057521e-06,-4.65332271395782e-06,0.0010014161358539923,3.2165634012161988e-06,4.653322029828511e-06,0.0010014157312106318,-4.65332271395782e-06
17212640,1.3971597361865416e-05,4.4820855082588226e-05,1.545863726893294e-05,2.7104234814403727e-06,-9.729101151376044e-06,0.0016380972259030528,1.377430693305077e-05,9.72909707566419e-06,0.0016380944732539036,-9.729101151376044e-06
17212640,2.0576630699911162e-05,-5.76156833292564e-05,2.195012738261248e-05,3.848309935171218e-06,-1.6293483822737392e-05,0.002081438364450936,3.231077114311537e-05,1.6293468667385053e-05,0.0020814287121256963,-1.6293483822737392e-05
17212640,2.701962393602954e-05,-0.00019344426753857802,2.7691439010941857e-05,4.853392117935451e-06,-2.420631293479468e-05,0.0023661600412304886,5.940440249391716e-05,2.4206270042931855e-05,0.002366146919668556,-2.420631293479468e-05
17212640,3.303524372702231e-05,-0.0003444083553818668,3.2417325370390066e-05,5.681761367237043e-06,-3.3263280594129776e-05,0.002509373035259938,9.509955587945428e-05,3.326318090378876e-05,0.0025093432053737183,-3.3263280594129776e-05
17212640,3.838424099605615e-05,-0.0004953986342463701,3.5909166529536015e-05,6.295417950132167e-06,-4.321808859389807e-05,0.0024673114270386985,0.00013907602807267967,4.3217888508243925e-05,0.00246725010585204,-4.321808859389807e-05
17212640,4.2969711318475714e-05,-0.0006355590945566859,3.813063044313386e-05,6.68893352044849e-06,-5.385012930067242e-05,0.002229599105804208,0.00019083214484405598,5.384976979071089e-05,0.002229490930770839,-5.385012930067242e-05
17212656,4.678120767228795e-05,-0.0007583420845104026,3.9153455760643095e-05,6.8759187251127246e-06,-6.495953935190526e-05,0.0018055959628209635,0.0002497267655522256,6.495894643983132e-05,0.001805426117078262,-6.495953935190526e-05
17212656,4.9858884566096975e-05,-0.0008610808210725683,3.910678711599153e-05,6.879847216587995e-06,-7.637353633971283e-05,0.0012156104465281422,0.0003150252919879717,7.637262270931924e-05,0.001215365782537226,-7.637353633971283e-05
17212656,5.2270120986211303e-05,-0.0009436086927196964,3.814572089620185e-05,6.7283755402602505e-06,-8.794575994281834e-05,0.00048521198265482734,0.0003859183190395869,8.794442746130973e-05,0.00048488212435478554,-8.794575994281834e-05
17212656,5.407553422241314e-05,-0.0010064364986813105,3.651998335931769e-05,6.4695429753444165e-06,-9.929180491539454e-05,-0.0003627656264164734,0.0004610859023239041,9.928995310874445e-05,-0.00036318466208994484,-9.929180491539454e-05
17212671,5.527902440536527e-05,-0.001048615118113934,3.455444465165644e-05,6.1696133450785985e-06,-0.0001096743745918954,-0.0013150053225640455,0.000538635144584497,0.00010967191625414317,-0.001315506726932408,-0.0001096743745918954
17212671,5.589275914422802e-05,-0.0010698778541173106,3.261509165484603e-05,5.903172378446217e-06,-0.00011829126904912454,-0.0023553185430428376,0.0006164119606024522,0.00011828814395271099,-0.0023558823679344122,-0.00011829126904912454
17212671,5.597355447418855e-05,-0.0010719200469081556,3.1042853456604866e-05,5.73751394946071e-06,-0.00012454388385401473,-0.00345914276057407,0.0006923301605729906,0.00012454006555539062,-0.0034597363474637927,-0.00012454388385401473
17212671,5.564325370453535e-05,-0.0010591827965269927,3.0416721820876008e-05,5.786781006907609e-06,-0.00012750435412709713,-0.004592175536115007,0.0007628290237425183,0.00012749986784372675,-0.004592741055645263,-0.00012750435412709713
17212687,5.5010050396746614e-05,-0.0010358316254585132,3.115015449417041e-05,6.130651924683701e-06,-0.0001265821610597228,-0.005724894737479543,0.0008247319144959078,0.0001265770847069631,-0.005725354082059912,-0.0001265821610597228
17212687,5.415444027677148e-05,-0.0010051277015836995,3.3424736773175236e-05,6.809615834768733e-06,-0.00012160837481798979,-0.006834886287332687,0.0008787329018565913,0.00012160282779502025,-0.006835180154742709,-0.00012160837481798979
17212687,5.313788395803767e-05,-0.0009696707000915533,3.726428583185058e-05,7.831363807506983e-06,-0.00011271083952286168,-0.00790519926996202,0.0009263889439702543,0.00011270495725203031,-0.00790529377312824,-0.00011271083952286168
17212687,5.2008502499465257e-05,-0.0009316669663237882,4.2591192239168e-05,9.174278562336062e-06,-0.00010022003990835655,-0.008923231139017584,0.0009669193170057936,0.00010021395197060561,-0.008923089529946655,-0.00010022003990835655
17212687,5.080381749259154e-05,-0.0008930282937873382,4.926162856633863e-05,1.080350971926194e-05,-8.45786933440734e-05,-0.009879993076556175,0.0009997628956538466,8.45725143281512e-05,-0.009879578692636042,-8.45786933440734e-05
17212687,4.9553438332048655e-05,-0.0008552882901719705,5.70949220786253e-05,1.267794847879322e-05,-6.628199212915048e-05,-0.010769435728924517,0.0010248004272418896,6.62758150252828e-05,-0.010768717277527045,-6.628199212915048e-05
17212703,4.828075236705228e-05,-0.0008196652163887726,6.589445237538896e-05,1.4754279883701225e-05,-4.583667855676841e-05,-0.011587954128000356,0.0010422335854979902,4.583057027717875e-05,-0.011586908922426859,-4.583667855676841e-05
17212703,4.70041760502959e-05,-0.0007871036347698936,7.546221814894589e-05,1.6989753237956047e-05,-2.373323439930318e-05,-0.01233396959502821,0.001052484190283487,2.3727233726511613e-05,-0.012332585119259897,-2.373323439930318e-05
17212703,4.5738109921315934e-05,-0.0007583051617452951,8.560861854006575e-05,1.9343999490618736e-05,-4.2796527658387485e-07,-0.013007568150576241,0.0010561133531994122,4.2208308798218034e-07,-0.01300584234603063,-4.2796527658387485e-07
17212703,4.449368767850992e-05,-0.0007337546870730001,9.615866028358652e-05,2.178014753387215e-05,2.366757565993584e-05,-0.013610183529002649,0.00105375882305486,-2.3673354316473817e-05,-0.013608124171888902,2.366757565993584e-05
17212718,4.3279376855458694e-05,-0.0007137454192094433,0.00010695552895103154,2.4265430686296965e-05,4.8191817699157625e-05,-0.014144317832507993,0.0010460881283099824,-4.819753022126574e-05,-0.014141941322697573,4.8191817699157625e-05
17212718,4.210146844712601e-05,-0.0006984040493368287,0.00011786224610003067,2.67714278735831e-05,7.283459178905981e-05,-0.014613295577963556,0.0010337649234247938,-7.284029387298629e-05,-0.014610625402369015,7.283459178905981e-05
17212718,4.096448075969982e-05,-0.000687716105784154,0.00012876196584375222,2.927404861050596e-05,9.733591247443664e-05,-0.015021048401715774,0.0010174260319747116,-9.73416736826129e-05,-0.015018113467821267,9.733591247443664e-05
17212718,3.987149414697047e-05,-0.0006815509417816916,0.0001395573310626866,3.175334352372273e-05,0.00012148301003329042,-0.015371928578388854,0.0009976669123053037,-0.00012148890945083647,-0.015368761577798682,0.00012148301003329042
17212718,3.882442797589308e-05,-0.0006796856204896248,0.00015016920678050157,3.419320151076653e-05,0.00014510627837562685,-0.01567054833387005,0.000975033566646223,-0.00014511240061906605,-0.015667184241195457,0.00014510627837562685
17212718,3.782236714583858e-05,-0.0006817496626286374,0.00016053067142925216,3.658009100711133e-05,0.0001680707061763219,-0.015922927054604522,0.0009500220152348458,-0.0001680771377849773,-0.015919445545915276,0.0001680707061763219
17212718,3.6868866140527674e-05,-0.0006875509393997676,0.00017067408131039827,3.892098741078883e-05,0.0001904502212380635,-0.016137276991023675,0.0009225990547474482,-0.0001904570544562225,-0.01613374449262153,0.0001904502212380635
17212718,3.596692399036334e-05,-0.0006968569424523846,0.0001806188101567109,4.122020140512446e-05,0.00021228820015464794,-0.01632046070434897,0.0008927995104212683,-0.00021229553077319467,-0.016316932329470048,0.00021228820015464794
17212734,3.511813465834956e-05,-0.0007093692622801546,0.0001903667900578862,4.347847594716267e-05,0.00023359070246295178,-0.016478154159119903,0.0008607581297566579,-0.00023359862711766385,-0.016474675179845712,0.00023359070246295178
