t_ms,rh_A_THJ5,rh_A_THJ4,rh_A_THJ2,rh_A_THJ1,rh_A_FFJ4,rh_A_FFJ3,rh_A_FFJ0,rh_A_RFJ4,rh_A_RFJ3,rh_A_RFJ0
99352328,2.392965876534863e-06,2.326476707322604e-05,2.812200519424051e-06,4.846986798791973e-07,-1.290108171453231e-06,0.0003477036357089948,-5.998443562709765e-07,1.2901081714532304e-06,0.0003477036357089952,-1.290108171453231e-06
99352328,7.595523522059616e-06,8.562537129017978e-05,8.678557360925487e-06,1.517659226505708e-06,-4.653322713957807e-06,0.0010014161358539923,3.2165634012162043e-06,4.653322029828505e-06,0.0010014157312106318,-4.653322713957807e-06
99352343,1.397159736186521e-05,4.482085508258772e-05,1.545863726893316e-05,2.7104234814403126e-06,-9.729101151376054e-06,0.0016380972259030526,1.3774306933050772e-05,9.729097075664213e-06,0.0016380944732539034,-9.729101151376054e-06
99352343,2.0576630699910915e-05,-5.761568332925748e-05,2.1950127382612757e-05,3.848309935171145e-06,-1.629348382273742e-05,0.0020814383644509353,3.2310771143115374e-05,1.6293468667385097e-05,0.002081428712125696,-1.629348382273742e-05
99352343,2.701962393602926e-05,-0.00019344426753857943,2.7691439010942186e-05,4.853392117935368e-06,-2.4206312934794724e-05,0.0023661600412304873,5.940440249391717e-05,2.4206270042931916e-05,0.0023661469196685552,-2.4206312934794724e-05
99352343,3.303524372702201e-05,-0.00034440835538186856,3.2417325370390446e-05,5.681761367236952e-06,-3.326328059412982e-05,0.002509373035259936,9.50995558794543e-05,3.3263180903788826e-05,0.002509343205373717,-3.326328059412982e-05
99352343,3.838424099605583e-05,-0.0004953986342463721,3.5909166529536435e-05,6.295417950132071e-06,-4.321808859389812e-05,0.0024673114270386967,0.0001390760280726797,4.321788850824399e-05,0.0024672501058520388,-4.321808859389812e-05
99352359,4.296971131847538e-05,-0.000635559094556688,3.813063044313432e-05,6.68893352044839e-06,-5.385012930067247e-05,0.002229599105804206,0.00019083214484405604,5.384976979071096e-05,0.0022294909307708378,-5.385012930067247e-05
99352359,4.6781207672287595e-05,-0.0007583420845104048,3.915345576064358e-05,6.87591872511262e-06,-6.495953935190531e-05,0.0018055959628209617,0.00024972676555222564,6.495894643983138e-05,0.0018054261170782607,-6.495953935190531e-05
99352359,4.985888456609661e-05,-0.0008610808210725704,3.910678711599204e-05,6.879847216587888e-06,-7.637353633971289e-05,0.0012156104465281404,0.00031502529198797175,7.637262270931931e-05,0.0012153657825372246,-7.637353633971289e-05
